"","reads.in","reads.out"
"tui_519_S22_trimmed_R1.fastq",11212,8516
"tui_520_S31_trimmed_R1.fastq",3680,2342
"tui_521_S24_trimmed_R1.fastq",11361,8768
"tui_524_S5_trimmed_R1.fastq",42457,35754
"tui_532_S58_trimmed_R1.fastq",8205,6697
"tui_534_S32_trimmed_R1.fastq",4290,3340
"tui_535_S73_trimmed_R1.fastq",8595,6587
"tui_539_S97_trimmed_R1.fastq",6486,4268
"tui_6_S6_trimmed_R1.fastq",9955,7190
"tui_601_S118_trimmed_R1.fastq",1134,194
"tui_602_S142_trimmed_R1.fastq",963,189
"tui_603_S1_trimmed_R1.fastq",441,137
"tui_604_S34_trimmed_R1.fastq",562,121
"tui_605_S19_trimmed_R1.fastq",889,153
"tui_606_S68_trimmed_R1.fastq",450,50
"tui_607_S14_trimmed_R1.fastq",742,74
"tui_608_S15_trimmed_R1.fastq",168,53
"tui_609_S20_trimmed_R1.fastq",594,78
"tui_610_S39_trimmed_R1.fastq",342,46
"tui_611_S88_trimmed_R1.fastq",326,95
"tui_612_S95_trimmed_R1.fastq",487,64
"tui_613_S56_trimmed_R1.fastq",635,133
"tui_614_S63_trimmed_R1.fastq",584,87
"tui_615_S85_trimmed_R1.fastq",355,86
"tui_616_S100_trimmed_R1.fastq",709,110
"tui_617_S112_trimmed_R1.fastq",1164,156
"tui_618_S4_trimmed_R1.fastq",106,27
"tui_619_S74_trimmed_R1.fastq",51911,45252
"tui_66_S111_trimmed_R1.fastq",9890,6727
"tui_67_S145_trimmed_R1.fastq",13357,7529
"tui_71_S147_trimmed_R1.fastq",6655,3846
"tui_73_S123_trimmed_R1.fastq",7001,4406
"tui_74_S110_trimmed_R1.fastq",31554,24765
"tui_76_S136_trimmed_R1.fastq",6565,3830
"tui_77_S133_trimmed_R1.fastq",3972,2260
"tui_78_S8_trimmed_R1.fastq",19190,15114
"tui_8_S117_trimmed_R1.fastq",17065,11034
"tui_80_S12_trimmed_R1.fastq",2593,1827
"tui_81_S124_trimmed_R1.fastq",13619,10527
"tui_84_S127_trimmed_R1.fastq",4467,2421
"tui_87_S13_trimmed_R1.fastq",4382,2799
"tui_88_S126_trimmed_R1.fastq",10683,7125
"tui_89_S120_trimmed_R1.fastq",4660,2534
"tui_9_S141_trimmed_R1.fastq",25848,20127
"tui_90_S138_trimmed_R1.fastq",17103,11637
